130,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,Speedcast GSI Gov ,H2,Critical Spares,In-House,0,In House | Shipped to RSW 06.04.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
114,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,QXU,,Critical Spares,In-Field,0,Shipped to MCLA 1-21-20   ???? ED not correct - 144 ship to MLCA ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
105,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,MCLA,,Critical Spares,In-Field,0,Shipped to QXU 01.14.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
144,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,Speedcast GSI Gov ,H2,Critical Spares,In-House,1, 06.15.20 Returned from Bill O'Hare,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
118,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,Speedcast GSI Gov ,H2,Critical Spares,In-House,0,Returned from site - *****Check against shipping Doc's*****,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
120,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,MCLA,H2,Critical Spares,In-Field,0,Shipped to MLCA 02.10.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
123,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,GDT,,Critical Spares,In-Field,0,Shipped to GDT 03.31.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
160,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,QUZ,H2,Critical Spares,In-Field,0,Shipped to QUZ 03.13.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
152,RCPD-1100,Paradise DUAL 1:1 REDUNDANT CONTROLLER,Speedcast GSI Gov ,Test Rk,Critical Spares,In-House,1,May Ship to Site TBD - Verify before using 06.05.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
15574-007,14386-500,"SPECIALTY, 1:1 Protection Switch",QJM,H2,Critical Spares,In-Field,0,Shipped to QJM 01.29.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
15774-002,14386-500,"SPECIALTY, 1:1 Protection Switch",Speedcast GSI Gov ,H2,Critical Spares,In-House,1,Unit in house Verified 06.05.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
15574-001,14386-500,"SPECIALTY, 1:1 Protection Switch",Speedcast GSI Gov ,H2,Critical Spares,In-House,1,Unit in house Verified 06.05.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
15574-006,14386-500,"SPECIALTY, 1:1 Protection Switch",Speedcast GSI Gov ,H2,Critical Spares,In-House,1,Unit in house Verified 06.05.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
15574-003,14386-500,"SPECIALTY, 1:1 Protection Switch",Speedcast GSI Gov ,H2,Critical Spares,In-House,1,06.15.20 Returned from Vendor RTV# 13374 ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
14386-003,14386-500,"SPECIALTY, 1:1 Protection Switch",Speedcast GSI Gov ,H2,Critical Spares,In-House,1,06.15.20 Returned from Vendor RTV# 13375 ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,6600-600-1,"SPECIALTY, 1:1 Protection Switch Power Supply",Speedcast GSI Gov ,H1,Critical Spares,In-House,6,Unit in house (SPARES),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
181163358,CDM570AL,Comtech L-Band Modem,QJM,,Critical Spares,In-Field,0,Shipped to QJM 01.29.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
181163356,CDM570AL,Comtech L-Band Modem,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house | 05.15.20 Unit in House,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
171050578,CDM570AL,Comtech L-Band Modem,Comtech,Test Rk,Critical Spares,In-Field,1,05.15.20 Unit in House - Test Rack,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
82382160,CDM570AL,Comtech L-Band Modem,QJM,,Critical Spares,In-Field,0,Shipped to QJM 01.29.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216713,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house -Verified 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52195778,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house -Verified 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52202922,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,0,Unit in house - ****Must Locate Unit****,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62228640,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house -Verified 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62227222,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,0,Shipped to QYB 06.19.20 ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216709,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house -Verified 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52201116,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Returned from Vendor RTV# 13357,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52195772,CDM570L,Comtech L-Band Modem Refurbished,QEA,H3,Critical Spares,In-Field,1,Returned from QEA 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216744,CDM570L,Comtech L-Band Modem Refurbished,QUZ,H3,Critical Spares,In-Field,0,Shipped to QUZ 03.11.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52201118,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,1,Unit in house -Verified 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216757,CDM570L,Comtech L-Band Modem Refurbished,NAW,,Critical Spares,In-Field,0,Shipped to NAW 01.17.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
102451345,CDM570L,Comtech L-Band Modem Refurbished,NAW,,Critical Spares,In-Field,0,Shipped to NAW 01.17.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216753,CDM570L,Comtech L-Band Modem Refurbished,MCLA,H3,Critical Spares,In-Field,0,Shipped to MLCA 1-27-20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52195776,CDM570L,Comtech L-Band Modem Refurbished,MCLA,H3,Critical Spares,In-Field,1,06.15.20 Returned from Bill O'Hare,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62228639,CDM570L,Comtech L-Band Modem Refurbished,Ken Green,,Critical Spares,In-Field,0,"Shipped to Ken Green, Brewers Ct. 01.16.20",8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
82352149,CDM570L,Comtech L-Band Modem Refurbished,Ken Green,,Critical Spares,In-Field,0,"Shipped to Ken Green, Brewers Ct. 01.16.20",8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
82382150,CDM570L,Comtech L-Band Modem Refurbished,QJM,H3,Critical Spares,In-Field,1, Returned from Vendor 05.15.20 - RTV# 13356,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52201096,CDM570L,Comtech L-Band Modem Refurbished,MCLA,H3,Critical Spares,In-Field,1,Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62227221,CDM570L,Comtech L-Band Modem Refurbished,Comtech,H3,Critical Spares,In-Repair,1,Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52197468,CDM570L,Comtech L-Band Modem Refurbished,GDT,H3,Critical Spares,In-Field,0,Shipped to GDT 03.31.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216749,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,0,Unit in house - SHIPPING TO FK7,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62216710,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,H3,Critical Spares,In-House,0,Unit in house - SHIPPING TO FK7,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62226489,CDM570L,Comtech L-Band Modem Refurbished,Comtech,Cart,Critical Spares,In-Repair,1, 05.15.20 - Returned from Vendor ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62240130,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,Test Rk,Critical Spares,In-House,1,Verified In House 05.15.20 - SCG CPV Test Rk ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
52202855,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,Test Rk,Critical Spares,In-House,1,Verified In House 05.15.20 - SCG NQX Test Rk ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
171050578,CDM570L,Comtech L-Band Modem Refurbished,Speedcast GSI Gov ,Test Rk,Critical Spares,In-House,1,Verified In House 05.15.20 - SCG NQX Test Rk ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
72269230,CRS170A,1:1 Modem Switch,QXU,,Critical Spares,In-Field,1, In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
61023193,CRS170A,1:1 Modem Switch,QXU,,Critical Spares,In-Field,1,In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
61023214,CRS170A,1:1 Modem Switch,QXU,,Critical Spares,In-Field,0,Unit at QXU 1/21/20 installed in rack ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
72269217,CRS170A,1:1 Modem Switch,MCLA,,Critical Spares,In-Field,1,In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
72269218,CRS170A,1:1 Modem Switch,QJM,,Critical Spares,In-Field,1,In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
181164869,CRS170A,1:1 Modem Switch,QJM,,Critical Spares,In-Field,0,Shipped to vendor 11/14/19 RMA 99654,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62219665,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
61023203,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
82350741,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
191278257,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
191273660,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
N/A,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 - SCG Test Rk  - Couldn't see S/N |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62226041,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62226046,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
62226051,CRS170A,1:1 Modem Switch,Speedcast GSI Gov ,,Critical Spares,In-House,1,In House 05.15.20 |,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
204240,VBUCC10AXXXXXX,Paradise 10W C_Band vBUC,QAF,E2,Critical Spares,In-Field,0,Shipped to QAF 03.11.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
205981,VBUCC10AXXXXXX,Paradise 10W C_Band vBUC,QUZ,E2,Critical Spares,In-Field,1,Shipped to QUZ 03.11.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
L208680-5 / 205102,VBUCK10AXXXXXX,Paradise 10W Ku_Band VBUC,Speedcast GSI Gov ,,Critical Spares,In-House,1, 06.15.20 Returned from Bill 0'Hare,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
L208680-5 / 205274,VBUCK10AXXXXXX,Paradise 10W Ku_Band VBUC,Speedcast GSI Gov ,,Critical Spares,In-House,1,06.15.20 Returned from Bill 0'Hare,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,,Paradise 4 WATT Ku-BAND BUC,Speedcast GSI Gov ,D2,Critical Spares,In-House,2,"Obsolete, replaced with item #9 below",8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
4-138,31K-04A563TXX,Paradise 4 WATT Ku-BAND BUC,Speedcast GSI Gov ,D2,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
4-252,31K-04A563TXX,Paradise 4 WATT Ku-BAND BUC,Speedcast GSI Gov ,D2,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840388B0005,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,D2,Critical Spares,In-House,1,Unit in house | Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840388B0006,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,1,Unit in house | Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K540388B0005,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,0,Unit in house | Shipping to MLCA 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840388B0003,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,1,Unit in house | Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140388B0001,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,1,Unit in house | Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140388B0005,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,0,Unit in house | Shipping to MLCA 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140388B0007,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,1,Unit in house | Verified In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840388B0004,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,0,Shipped to QFI 06.19.20 ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840388B0009,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,0,TO BE RETURNED FOR REPAIR,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340388B0013,4908L,"CPI Codan , 8 Watt, Ku-Band BUC",Speedcast GSI Gov ,,Critical Spares,In-House,0,TO BE RETURNED FOR REPAIR,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140718A0009,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",EYW,E2,Critical Spares,In-Field,0,Shipped to EYW 03.11.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140718A0011,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",Speedcast GSI Gov ,E2,Critical Spares,In-House,1,In-House ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140718A0013,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",EYW,E2,Critical Spares,In-Field,0,Shipped to EYW 03.11.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340718A0002,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,0,Unit returned to vendor - RMA 41319,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340388B0009,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",Speedcast GSI Gov ,E2,Critical Spares,In-House,0,Unit in house - LOCATE BUC?????,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340718A0008,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,0,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41322,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
F740718A0001,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,0,units being returned to CPI to incorporate latest REVISIONS - Fault - RMA 41318,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340718A0007,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,0,Broken DC Conector   RMA 41321,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
J340718A0003,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,0,units being returned to CPI to incorporate latest REVISIONS - Fault   RMA 41320,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840718A0002,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,E2,Critical Spares,In-Repair,1,In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K140388B0019,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",CPI,,Critical Spares,In-Repair,0,Unit returned to vendor - RMA 41323,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
K840718A0001,4710l-W/S-DC/EX-NI,"CPI Codan, 10 Watt, C-Band BUC",Speedcast GSI Gov ,E2,Critical Spares,In-House,1, In House 05.15.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,210698-05011,603 MFG CBAND AND KU HARNESS,Speedcast GSI Gov ,E2,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,L204196-1,STD C-Band and vBUCs Harness Rev B,CTY,E2,Critical Spares,In-Field,0,1 Shipped to CTY on 2/4/19.  3 Units in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,L204195-1,4 WATT KU-BAND BUC HARNESS,Speedcast GSI Gov ,E2,Critical Spares,In-House,0,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,DDH010-31015,"DTH Dehydrator, Disposable 115VAC",Speedcast GSI Gov ,F2,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,EDH-5,"EDH Pole Mount Dehydrator, 115VAC",NAW,G1,Critical Spares,In-Field,11,one missng descant bottle send to (NAW),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,SD003 UV,KU desiccant Bottle,Speedcast GSI Gov ,F1,Critical Spares,In-House,48,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,18138PKG,Replacement desiccant field replacable,Speedcast GSI Gov ,NA,Critical Spares,In-House,0,"Obsolete, not required",8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1849292730,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house (To be located),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1922290715,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1923390781,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1923390776,SRTA2200RMXLA,"UPS, Rack Mount",BHF,N3,Critical Spares,In-Field,0,Shipped to BHF - Alan Danvers 01.23.20,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1916201304,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house (To be located),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1916L01246,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house (To be located),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1911L02204,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house (To be located),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS10911L2152,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Unit in house (To be located),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
AS1839253762,SRTA2200RMXLA,"UPS, Rack Mount",Speedcast GSI Gov ,N3,Critical Spares,In-House,1,Labeled Fly Away  (SRT750 Series),8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,0800-2444 WR137,C Band rx/tx feed,Speedcast GSI Gov ,E1,Critical Spares,In-House,11,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,7898D,AIRCRAFT WARNING FILTER,Speedcast GSI Gov ,E2,Critical Spares,In-House,3,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,GSI manufactured,Complete k/u feed assembly,Speedcast GSI Gov ,D4,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,#0800-1789,Ku-band rx/tx cross pol feed only ,Speedcast GSI Gov ,D4,Critical Spares,In-House,1,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,GSI manufactured,Complete c-band feed assembly,Speedcast GSI Gov ,E4,Critical Spares,In-House,3,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,1507HAN (HS1057AN),K/U LNB's ,Speedcast GSI Gov ,D3,Critical Spares,In-House,30,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,3120N,C-Band LNB 5 KHZ,Speedcast GSI Gov ,E3,Critical Spares,In-House,7,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,,De-ICE Material consisting of:,Speedcast GSI Gov ,,Critical Spares,In-House,1,,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,d1995 120 ,vac moisture grid,Speedcast GSI Gov ,F2,Critical Spares,In-House,35,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,e1631 l-180f ,snap disc,Speedcast GSI Gov ,F2,Critical Spares,In-House,7,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,e1635 l-135s ,snap disc,Speedcast GSI Gov ,F2,Critical Spares,In-House,15,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,e1645 f-45 ,snap disc,Speedcast GSI Gov ,F2,Critical Spares,In-House,11,Unit in house,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
,Allen Bradely C23 Switch 100-SB10,Contactor & Switch,Speedcast GSI Gov ,,Critical Spares,In-House,5,unit in house ,8/3/2020,8/3/2020,8/3/2020,Ed LaPosota
